face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Xp,1599.9999999000322,-1595.0000000999905,-1450.0000000999503,1700.000000100068,-1249.4444445222125,-49.9999998999477,1650.00000000005,-1422.2222223111016,-749.999999999949
Xp,1599.9999999000322,-1239.4444445222125,-1450.0000000999503,1700.000000100068,-893.8888889444347,-49.9999998999477,1650.00000000005,-1066.6666667333236,-749.999999999949
Xp,1599.9999999000322,-883.8888889444347,-1450.0000000999503,1700.000000100068,-538.3333333666567,-49.9999998999477,1650.00000000005,-711.1111111555457,-749.999999999949
Xp,1599.9999999000322,-528.3333333666567,-1450.0000000999503,1700.000000100068,-182.7777777888789,-49.9999998999477,1650.00000000005,-355.5555555777678,-749.999999999949
Xp,1599.9999999000322,-172.7777777888789,-1450.0000000999503,1700.000000100068,172.7777777888989,-49.9999998999477,1650.00000000005,1.000444171950221e-11,-749.999999999949
Xp,1599.9999999000322,182.7777777888989,-1450.0000000999503,1700.000000100068,528.3333333666772,-49.9999998999477,1650.00000000005,355.555555577788,-749.999999999949
Xp,1599.9999999000322,538.3333333666772,-1450.0000000999503,1700.000000100068,883.888888944455,-49.9999998999477,1650.00000000005,711.111111155566,-749.999999999949
Xp,1599.9999999000322,893.888888944455,-1450.0000000999503,1700.000000100068,1239.4444445222327,-49.9999998999477,1650.00000000005,1066.6666667333438,-749.999999999949
Xp,1599.9999999000322,1249.4444445222327,-1450.0000000999503,1700.000000100068,1595.0000001000105,-49.9999998999477,1650.00000000005,1422.2222223111216,-749.999999999949
Yp,-1595.0000000999946,1599.9999998999706,-1450.0000000999635,-1238.3333334110994,1700.000000100014,-49.99999989981435,-1416.6666667555469,1649.9999999999923,-749.9999999998889
Yp,-1228.3333334110994,1599.9999998999706,-1450.0000000999635,-871.6666667222041,1700.000000100014,-49.99999989981435,-1050.0000000666519,1649.9999999999923,-749.9999999998889
Yp,-861.6666667222041,1599.9999998999706,-1450.0000000999635,-505.0000000333089,1700.000000100014,-49.99999989981435,-683.3333333777565,1649.9999999999923,-749.9999999998889
Yp,-495.0000000333089,1599.9999998999706,-1450.0000000999635,-138.33333334441363,1700.000000100014,-49.99999989981435,-316.66666668886126,1649.9999999999923,-749.9999999998889
Yp,-128.33333334441363,1599.9999998999706,-1450.0000000999635,228.33333334448162,1700.000000100014,-49.99999989981435,50.00000000003399,1649.9999999999923,-749.9999999998889
Yp,238.33333334448162,1599.9999998999706,-1450.0000000999635,595.0000000333769,1700.000000100014,-49.99999989981435,416.66666668892924,1649.9999999999923,-749.9999999998889
Yp,605.0000000333769,1599.9999998999706,-1450.0000000999635,961.6666667222723,1700.000000100014,-49.99999989981435,783.3333333778246,1649.9999999999923,-749.9999999998889
Yp,971.6666667222723,1599.9999998999706,-1450.0000000999635,1328.3333334111674,1700.000000100014,-49.99999989981435,1150.0000000667198,1649.9999999999923,-749.9999999998889
Yp,1338.3333334111674,1599.9999998999706,-1450.0000000999635,1695.0000001000624,1700.000000100014,-49.99999989981435,1516.6666667556149,1649.9999999999923,-749.9999999998889
Xm,-1700.000000099993,-1595.0000001000003,-1450.0000000999735,-1599.9999998999065,-1238.33333341111,-49.999999899807754,-1649.9999999999498,-1416.666666755555,-749.9999999998906
Xm,-1700.000000099993,-1228.33333341111,-1450.0000000999735,-1599.9999998999065,-871.6666667222198,-49.999999899807754,-1649.9999999999498,-1050.000000066665,-749.9999999998906
Xm,-1700.000000099993,-861.6666667222198,-1450.0000000999735,-1599.9999998999065,-505.00000003332957,-49.999999899807754,-1649.9999999999498,-683.3333333777747,-749.9999999998906
Xm,-1700.000000099993,-495.00000003332957,-1450.0000000999735,-1599.9999998999065,-138.33333334443932,-49.999999899807754,-1649.9999999999498,-316.66666668888445,-749.9999999998906
Xm,-1700.000000099993,-128.33333334443932,-1450.0000000999735,-1599.9999998999065,228.33333334445092,-49.999999899807754,-1649.9999999999498,50.0000000000058,-749.9999999998906
Xm,-1700.000000099993,238.33333334445092,-1450.0000000999735,-1599.9999998999065,595.0000000333412,-49.999999899807754,-1649.9999999999498,416.66666668889604,-749.9999999998906
Xm,-1700.000000099993,605.0000000333412,-1450.0000000999735,-1599.9999998999065,961.6666667222312,-49.999999899807754,-1649.9999999999498,783.3333333777862,-749.9999999998906
Xm,-1700.000000099993,971.6666667222312,-1450.0000000999735,-1599.9999998999065,1328.3333334111217,-49.999999899807754,-1649.9999999999498,1150.0000000666764,-749.9999999998906
Xm,-1700.000000099993,1338.3333334111217,-1450.0000000999735,-1599.9999998999065,1695.0000001000121,-49.999999899807754,-1649.9999999999498,1516.666666755567,-749.9999999998906
Zp,-2099.338000099942,-1942.410166248889,-50.00000009995395,-1728.9042000799423,-654.1367220829634,50.000000100192175,-1914.121100089942,-1298.2734441659263,1.191118315091444e-10
Zp,-2099.338000099942,-644.1367220829634,-50.00000009995395,-1728.9042000799423,644.1367220829623,50.000000100192175,-1914.121100089942,-5.684341886080801e-13,1.191118315091444e-10
Zp,-2099.338000099942,654.1367220829623,-50.00000009995395,-1728.9042000799423,1942.4101662488877,50.000000100192175,-1914.121100089942,1298.273444165925,1.191118315091444e-10
Zp,-1718.9042000799423,-1942.410166248889,-50.00000009995395,-1348.470400059943,-654.1367220829634,50.000000100192175,-1533.6873000699425,-1298.2734441659263,1.191118315091444e-10
Zp,-1718.9042000799423,-644.1367220829634,-50.00000009995395,-1348.470400059943,644.1367220829623,50.000000100192175,-1533.6873000699425,-5.684341886080801e-13,1.191118315091444e-10
Zp,-1718.9042000799423,654.1367220829623,-50.00000009995395,-1348.470400059943,1942.4101662488877,50.000000100192175,-1533.6873000699425,1298.273444165925,1.191118315091444e-10
Zp,-1338.470400059943,-1942.410166248889,-50.00000009995395,-968.0366000399436,-654.1367220829634,50.000000100192175,-1153.2535000499433,-1298.2734441659263,1.191118315091444e-10
Zp,-1338.470400059943,-644.1367220829634,-50.00000009995395,-968.0366000399436,644.1367220829623,50.000000100192175,-1153.2535000499433,-5.684341886080801e-13,1.191118315091444e-10
Zp,-1338.470400059943,654.1367220829623,-50.00000009995395,-968.0366000399436,1942.4101662488877,50.000000100192175,-1153.2535000499433,1298.273444165925,1.191118315091444e-10
Zp,-958.0366000399436,-1942.410166248889,-50.00000009995395,-587.602800019944,-654.1367220829634,50.000000100192175,-772.8197000299438,-1298.2734441659263,1.191118315091444e-10
Zp,-958.0366000399436,-644.1367220829634,-50.00000009995395,-587.602800019944,644.1367220829623,50.000000100192175,-772.8197000299438,-5.684341886080801e-13,1.191118315091444e-10
Zp,-958.0366000399436,654.1367220829623,-50.00000009995395,-587.602800019944,1942.4101662488877,50.000000100192175,-772.8197000299438,1298.273444165925,1.191118315091444e-10
Zp,-577.602800019944,-1942.410166248889,-50.00000009995395,-207.1689999999444,-654.1367220829634,50.000000100192175,-392.3859000099442,-1298.2734441659263,1.191118315091444e-10
Zp,-577.602800019944,-644.1367220829634,-50.00000009995395,-207.1689999999444,644.1367220829623,50.000000100192175,-392.3859000099442,-5.684341886080801e-13,1.191118315091444e-10
Zp,-577.602800019944,654.1367220829623,-50.00000009995395,-207.1689999999444,1942.4101662488877,50.000000100192175,-392.3859000099442,1298.273444165925,1.191118315091444e-10
Zp,-197.1689999999444,-1942.410166248889,-50.00000009995395,173.26480002005474,-654.1367220829634,50.000000100192175,-11.952099989944827,-1298.2734441659263,1.191118315091444e-10
Zp,-197.1689999999444,654.1367220829623,-50.00000009995395,173.26480002005474,1942.4101662488877,50.000000100192175,-11.952099989944827,1298.273444165925,1.191118315091444e-10
Zp,183.26480002005474,-1942.410166248889,-50.00000009995395,553.6986000400543,-654.1367220829634,50.000000100192175,368.4817000300545,-1298.2734441659263,1.191118315091444e-10
Zp,183.26480002005474,-644.1367220829634,-50.00000009995395,553.6986000400543,644.1367220829623,50.000000100192175,368.4817000300545,-5.684341886080801e-13,1.191118315091444e-10
Zp,183.26480002005474,654.1367220829623,-50.00000009995395,553.6986000400543,1942.4101662488877,50.000000100192175,368.4817000300545,1298.273444165925,1.191118315091444e-10
Zp,563.6986000400543,-1942.410166248889,-50.00000009995395,934.1324000600539,-654.1367220829634,50.000000100192175,748.9155000500541,-1298.2734441659263,1.191118315091444e-10
Zp,563.6986000400543,-644.1367220829634,-50.00000009995395,934.1324000600539,644.1367220829623,50.000000100192175,748.9155000500541,-5.684341886080801e-13,1.191118315091444e-10
Zp,563.6986000400543,654.1367220829623,-50.00000009995395,934.1324000600539,1942.4101662488877,50.000000100192175,748.9155000500541,1298.273444165925,1.191118315091444e-10
Zp,944.1324000600539,-1942.410166248889,-50.00000009995395,1314.5662000800535,-654.1367220829634,50.000000100192175,1129.3493000700537,-1298.2734441659263,1.191118315091444e-10
Zp,944.1324000600539,-644.1367220829634,-50.00000009995395,1314.5662000800535,644.1367220829623,50.000000100192175,1129.3493000700537,-5.684341886080801e-13,1.191118315091444e-10
Zp,944.1324000600539,654.1367220829623,-50.00000009995395,1314.5662000800535,1942.4101662488877,50.000000100192175,1129.3493000700537,1298.273444165925,1.191118315091444e-10
Zp,1324.5662000800535,-1942.410166248889,-50.00000009995395,1695.000000100053,-654.1367220829634,50.000000100192175,1509.7831000900533,-1298.2734441659263,1.191118315091444e-10
Zp,1324.5662000800535,-644.1367220829634,-50.00000009995395,1695.000000100053,644.1367220829623,50.000000100192175,1509.7831000900533,-5.684341886080801e-13,1.191118315091444e-10
Zp,1324.5662000800535,654.1367220829623,-50.00000009995395,1695.000000100053,1942.4101662488877,50.000000100192175,1509.7831000900533,1298.273444165925,1.191118315091444e-10
Zm,-1595.0000000999646,-1600.000000099989,-1450.0000000999526,-1249.4444445221836,1600.000000100041,-1349.9999998999474,-1422.2222223110741,2.603428583825007e-11,-1399.99999999995
Zm,-1239.4444445221836,-1600.000000099989,-1450.0000000999526,-893.8888889444025,1600.000000100041,-1349.9999998999474,-1066.6666667332931,2.603428583825007e-11,-1399.99999999995
Zm,-883.8888889444025,-1600.000000099989,-1450.0000000999526,-538.3333333666214,1600.000000100041,-1349.9999998999474,-711.1111111555119,2.603428583825007e-11,-1399.99999999995
Zm,-528.3333333666214,-1600.000000099989,-1450.0000000999526,-182.77777778884047,1600.000000100041,-1349.9999998999474,-355.55555557773096,2.603428583825007e-11,-1399.99999999995
Zm,-172.77777778884047,-1600.000000099989,-1450.0000000999526,172.7777777889405,1600.000000100041,-1349.9999998999474,5.002220859751105e-11,2.603428583825007e-11,-1399.99999999995
Zm,182.7777777889405,-1600.000000099989,-1450.0000000999526,528.3333333667217,1600.000000100041,-1349.9999998999474,355.5555555778311,2.603428583825007e-11,-1399.99999999995
Zm,538.3333333667217,-1600.000000099989,-1450.0000000999526,883.8888889445027,1600.000000100041,-1349.9999998999474,711.1111111556122,2.603428583825007e-11,-1399.99999999995
Zm,893.8888889445027,-1600.000000099989,-1450.0000000999526,1239.4444445222837,1600.000000100041,-1349.9999998999474,1066.6666667333932,2.603428583825007e-11,-1399.99999999995
Zm,1249.4444445222837,-1600.000000099989,-1450.0000000999526,1595.0000001000647,1600.000000100041,-1349.9999998999474,1422.2222223111742,2.603428583825007e-11,-1399.99999999995
Ym,-1695.0000000999617,-1700.000000100001,-1450.0000000999687,-1327.2222222999621,-1599.9999998999788,-49.9999998999485,-1511.111111199962,-1649.99999999999,-749.9999999999586
Ym,-1317.2222222999621,-1700.000000100001,-1450.0000000999687,-949.4444444999627,-1599.9999998999788,-49.9999998999485,-1133.3333333999624,-1649.99999999999,-749.9999999999586
Ym,-939.4444444999627,-1700.000000100001,-1450.0000000999687,-571.6666666999633,-1599.9999998999788,-49.9999998999485,-755.5555555999631,-1649.99999999999,-749.9999999999586
Ym,-561.6666666999633,-1700.000000100001,-1450.0000000999687,-193.88888889996383,-1599.9999998999788,-49.9999998999485,-377.7777777999636,-1649.99999999999,-749.9999999999586
Ym,-183.88888889996383,-1700.000000100001,-1450.0000000999687,183.88888890003568,-1599.9999998999788,-49.9999998999485,3.5925040720030665e-11,-1649.99999999999,-749.9999999999586
Ym,193.88888890003568,-1700.000000100001,-1450.0000000999687,561.666666700035,-1599.9999998999788,-49.9999998999485,377.7777778000353,-1649.99999999999,-749.9999999999586
Ym,571.666666700035,-1700.000000100001,-1450.0000000999687,939.4444445000345,-1599.9999998999788,-49.9999998999485,755.5555556000347,-1649.99999999999,-749.9999999999586
Ym,949.4444445000345,-1700.000000100001,-1450.0000000999687,1317.222222300034,-1599.9999998999788,-49.9999998999485,1133.3333334000342,-1649.99999999999,-749.9999999999586
Ym,1327.222222300034,-1700.000000100001,-1450.0000000999687,1695.0000001000335,-1599.9999998999788,-49.9999998999485,1511.1111112000337,-1649.99999999999,-749.9999999999586
